Region,Nation,MonthYear,Account Type,Type,Count
Amnian Empire,,2023-03,,Total Orders by Region and Month,844
Amnian Empire,,2023-04,,Total Orders by Region and Month,817
Amnian Empire,,2023-05,,Total Orders by Region and Month,823
Amnian Empire,,2023-06,,Total Orders by Region and Month,811
Amnian Empire,,2023-07,,Total Orders by Region and Month,791
Amnian Empire,,2023-08,,Total Orders by Region and Month,836
Amnian Empire,,2023-09,,Total Orders by Region and Month,828
Amnian Empire,,2023-10,,Total Orders by Region and Month,808
Amnian Empire,,2023-11,,Total Orders by Region and Month,860
Amnian Empire,,2023-12,,Total Orders by Region and Month,812
Bloodlands Empire,,2019-01,,Total Orders by Region and Month,388
Bloodlands Empire,,2019-02,,Total Orders by Region and Month,360
Bloodlands Empire,,2019-03,,Total Orders by Region and Month,387
Bloodlands Empire,,2019-04,,Total Orders by Region and Month,360
Bloodlands Empire,,2019-05,,Total Orders by Region and Month,365
Bloodlands Empire,,2019-06,,Total Orders by Region and Month,344
Bloodlands Empire,,2019-07,,Total Orders by Region and Month,433
Bloodlands Empire,,2019-08,,Total Orders by Region and Month,418
Bloodlands Empire,,2019-09,,Total Orders by Region and Month,375
Bloodlands Empire,,2019-10,,Total Orders by Region and Month,361
Bloodlands Empire,,2019-11,,Total Orders by Region and Month,342
Bloodlands Empire,,2019-12,,Total Orders by Region and Month,394
Bloodlands Empire,,2020-01,,Total Orders by Region and Month,354
Bloodlands Empire,,2020-02,,Total Orders by Region and Month,388
Bloodlands Empire,,2020-03,,Total Orders by Region and Month,404
Bloodlands Empire,,2020-04,,Total Orders by Region and Month,387
Bloodlands Empire,,2020-05,,Total Orders by Region and Month,377
Bloodlands Empire,,2020-06,,Total Orders by Region and Month,387
Bloodlands Empire,,2020-07,,Total Orders by Region and Month,386
Bloodlands Empire,,2020-08,,Total Orders by Region and Month,384
Bloodlands Empire,,2020-09,,Total Orders by Region and Month,377
Bloodlands Empire,,2020-10,,Total Orders by Region and Month,363
Bloodlands Empire,,2020-11,,Total Orders by Region and Month,386
Bloodlands Empire,,2020-12,,Total Orders by Region and Month,384
Bloodlands Empire,,2021-01,,Total Orders by Region and Month,371
Bloodlands Empire,,2021-02,,Total Orders by Region and Month,369
Bloodlands Empire,,2021-03,,Total Orders by Region and Month,387
Bloodlands Empire,,2021-04,,Total Orders by Region and Month,356
Bloodlands Empire,,2021-05,,Total Orders by Region and Month,419
Bloodlands Empire,,2021-06,,Total Orders by Region and Month,351
Bloodlands Empire,,2021-07,,Total Orders by Region and Month,364
Bloodlands Empire,,2021-08,,Total Orders by Region and Month,398
Bloodlands Empire,,2021-09,,Total Orders by Region and Month,382
Bloodlands Empire,,2021-10,,Total Orders by Region and Month,414
Bloodlands Empire,,2021-11,,Total Orders by Region and Month,373
Bloodlands Empire,,2021-12,,Total Orders by Region and Month,394
Bloodlands Empire,,2022-01,,Total Orders by Region and Month,415
Bloodlands Empire,,2022-02,,Total Orders by Region and Month,376
Bloodlands Empire,,2022-03,,Total Orders by Region and Month,334
Bloodlands Empire,,2022-04,,Total Orders by Region and Month,389
Bloodlands Empire,,2022-05,,Total Orders by Region and Month,380
Bloodlands Empire,,2022-06,,Total Orders by Region and Month,377
Bloodlands Empire,,2022-07,,Total Orders by Region and Month,381
Bloodlands Empire,,2022-08,,Total Orders by Region and Month,397
Bloodlands Empire,,2022-09,,Total Orders by Region and Month,347
Bloodlands Empire,,2022-10,,Total Orders by Region and Month,391
Bloodlands Empire,,2022-11,,Total Orders by Region and Month,358
Bloodlands Empire,,2022-12,,Total Orders by Region and Month,368
Bloodlands Empire,,2023-01,,Total Orders by Region and Month,381
Bloodlands Empire,,2023-02,,Total Orders by Region and Month,342
Bloodlands Empire,,2023-03,,Total Orders by Region and Month,379
Bloodlands Empire,,2023-04,,Total Orders by Region and Month,383
Bloodlands Empire,,2023-05,,Total Orders by Region and Month,391
Bloodlands Empire,,2023-06,,Total Orders by Region and Month,391
Bloodlands Empire,,2023-07,,Total Orders by Region and Month,397
Bloodlands Empire,,2023-08,,Total Orders by Region and Month,403
Bloodlands Empire,,2023-09,,Total Orders by Region and Month,386
Bloodlands Empire,,2023-10,,Total Orders by Region and Month,413
Bloodlands Empire,,2023-11,,Total Orders by Region and Month,381
Bloodlands Empire,,2023-12,,Total Orders by Region and Month,370
Calim Empire,,2019-01,,Total Orders by Region and Month,535
Calim Empire,,2019-02,,Total Orders by Region and Month,507
Calim Empire,,2019-03,,Total Orders by Region and Month,568
Calim Empire,,2019-04,,Total Orders by Region and Month,547
Calim Empire,,2019-05,,Total Orders by Region and Month,595
Calim Empire,,2019-06,,Total Orders by Region and Month,539
Calim Empire,,2019-07,,Total Orders by Region and Month,605
Calim Empire,,2019-08,,Total Orders by Region and Month,580
Calim Empire,,2019-09,,Total Orders by Region and Month,550
Calim Empire,,2019-10,,Total Orders by Region and Month,570
Calim Empire,,2019-11,,Total Orders by Region and Month,518
Calim Empire,,2019-12,,Total Orders by Region and Month,596
Calim Empire,,2020-01,,Total Orders by Region and Month,605
Calim Empire,,2020-02,,Total Orders by Region and Month,490
Calim Empire,,2020-03,,Total Orders by Region and Month,567
Calim Empire,,2020-04,,Total Orders by Region and Month,583
Calim Empire,,2020-05,,Total Orders by Region and Month,580
Calim Empire,,2020-06,,Total Orders by Region and Month,564
Calim Empire,,2020-07,,Total Orders by Region and Month,616
Calim Empire,,2020-08,,Total Orders by Region and Month,578
Calim Empire,,2020-09,,Total Orders by Region and Month,554
Calim Empire,,2020-10,,Total Orders by Region and Month,586
Calim Empire,,2020-11,,Total Orders by Region and Month,576
Calim Empire,,2020-12,,Total Orders by Region and Month,562
Calim Empire,,2021-01,,Total Orders by Region and Month,573
Calim Empire,,2021-02,,Total Orders by Region and Month,549
Calim Empire,,2021-03,,Total Orders by Region and Month,594
Calim Empire,,2021-04,,Total Orders by Region and Month,533
Calim Empire,,2021-05,,Total Orders by Region and Month,529
Calim Empire,,2021-06,,Total Orders by Region and Month,593
Calim Empire,,2021-07,,Total Orders by Region and Month,551
Calim Empire,,2021-08,,Total Orders by Region and Month,588
Calim Empire,,2021-09,,Total Orders by Region and Month,568
Calim Empire,,2021-10,,Total Orders by Region and Month,579
Calim Empire,,2021-11,,Total Orders by Region and Month,531
Calim Empire,,2021-12,,Total Orders by Region and Month,588
Calim Empire,,2022-01,,Total Orders by Region and Month,590
Calim Empire,,2022-02,,Total Orders by Region and Month,549
Calim Empire,,2022-03,,Total Orders by Region and Month,585
Calim Empire,,2022-04,,Total Orders by Region and Month,536
Calim Empire,,2022-05,,Total Orders by Region and Month,503
Calim Empire,,2022-06,,Total Orders by Region and Month,534
Calim Empire,,2022-07,,Total Orders by Region and Month,583
Calim Empire,,2022-08,,Total Orders by Region and Month,575
Calim Empire,,2022-09,,Total Orders by Region and Month,582
Calim Empire,,2022-10,,Total Orders by Region and Month,579
Calim Empire,,2022-11,,Total Orders by Region and Month,527
Calim Empire,,2022-12,,Total Orders by Region and Month,588
Calim Empire,,2023-01,,Total Orders by Region and Month,557
Calim Empire,,2023-02,,Total Orders by Region and Month,530
Calim Empire,,2023-03,,Total Orders by Region and Month,601
Calim Empire,,2023-04,,Total Orders by Region and Month,561
Calim Empire,,2023-05,,Total Orders by Region and Month,587
Calim Empire,,2023-06,,Total Orders by Region and Month,589
Calim Empire,,2023-07,,Total Orders by Region and Month,503
Calim Empire,,2023-08,,Total Orders by Region and Month,593
Calim Empire,,2023-09,,Total Orders by Region and Month,583
Calim Empire,,2023-10,,Total Orders by Region and Month,560
Calim Empire,,2023-11,,Total Orders by Region and Month,520
Calim Empire,,2023-12,,Total Orders by Region and Month,592
Dwarven Empire,,2019-01,,Total Orders by Region and Month,195
Dwarven Empire,,2019-02,,Total Orders by Region and Month,155
Dwarven Empire,,2019-03,,Total Orders by Region and Month,190
Dwarven Empire,,2019-04,,Total Orders by Region and Month,169
Dwarven Empire,,2019-05,,Total Orders by Region and Month,187
Dwarven Empire,,2019-06,,Total Orders by Region and Month,151
Dwarven Empire,,2019-07,,Total Orders by Region and Month,164
Dwarven Empire,,2019-08,,Total Orders by Region and Month,186
Dwarven Empire,,2019-09,,Total Orders by Region and Month,177
Dwarven Empire,,2019-10,,Total Orders by Region and Month,166
Dwarven Empire,,2019-11,,Total Orders by Region and Month,174
Dwarven Empire,,2019-12,,Total Orders by Region and Month,165
Dwarven Empire,,2020-01,,Total Orders by Region and Month,187
Dwarven Empire,,2020-02,,Total Orders by Region and Month,179
Dwarven Empire,,2020-03,,Total Orders by Region and Month,161
Dwarven Empire,,2020-04,,Total Orders by Region and Month,166
Dwarven Empire,,2020-05,,Total Orders by Region and Month,166
Dwarven Empire,,2020-06,,Total Orders by Region and Month,182
Dwarven Empire,,2020-07,,Total Orders by Region and Month,201
Dwarven Empire,,2020-08,,Total Orders by Region and Month,162
Dwarven Empire,,2020-09,,Total Orders by Region and Month,197
Dwarven Empire,,2020-10,,Total Orders by Region and Month,194
Dwarven Empire,,2020-11,,Total Orders by Region and Month,167
Dwarven Empire,,2020-12,,Total Orders by Region and Month,160
Dwarven Empire,,2021-01,,Total Orders by Region and Month,183
Dwarven Empire,,2021-02,,Total Orders by Region and Month,140
Dwarven Empire,,2021-03,,Total Orders by Region and Month,190
Dwarven Empire,,2021-04,,Total Orders by Region and Month,165
Dwarven Empire,,2021-05,,Total Orders by Region and Month,154
Dwarven Empire,,2021-06,,Total Orders by Region and Month,167
Dwarven Empire,,2021-07,,Total Orders by Region and Month,176
Dwarven Empire,,2021-08,,Total Orders by Region and Month,158
Dwarven Empire,,2021-09,,Total Orders by Region and Month,170
Dwarven Empire,,2021-10,,Total Orders by Region and Month,189
Dwarven Empire,,2021-11,,Total Orders by Region and Month,176
Dwarven Empire,,2021-12,,Total Orders by Region and Month,167
Dwarven Empire,,2022-01,,Total Orders by Region and Month,180
Dwarven Empire,,2022-02,,Total Orders by Region and Month,155
Dwarven Empire,,2022-03,,Total Orders by Region and Month,203
Dwarven Empire,,2022-04,,Total Orders by Region and Month,180
Dwarven Empire,,2022-05,,Total Orders by Region and Month,178
Dwarven Empire,,2022-06,,Total Orders by Region and Month,172
Dwarven Empire,,2022-07,,Total Orders by Region and Month,166
Dwarven Empire,,2022-08,,Total Orders by Region and Month,183
Dwarven Empire,,2022-09,,Total Orders by Region and Month,165
Dwarven Empire,,2022-10,,Total Orders by Region and Month,159
Dwarven Empire,,2022-11,,Total Orders by Region and Month,141
Dwarven Empire,,2022-12,,Total Orders by Region and Month,167
Dwarven Empire,,2023-01,,Total Orders by Region and Month,160
Dwarven Empire,,2023-02,,Total Orders by Region and Month,162
Dwarven Empire,,2023-03,,Total Orders by Region and Month,171
Dwarven Empire,,2023-04,,Total Orders by Region and Month,169
Dwarven Empire,,2023-05,,Total Orders by Region and Month,179
Dwarven Empire,,2023-06,,Total Orders by Region and Month,155
Dwarven Empire,,2023-07,,Total Orders by Region and Month,180
Dwarven Empire,,2023-08,,Total Orders by Region and Month,170
Dwarven Empire,,2023-09,,Total Orders by Region and Month,167
Dwarven Empire,,2023-10,,Total Orders by Region and Month,181
Dwarven Empire,,2023-11,,Total Orders by Region and Month,192
Dwarven Empire,,2023-12,,Total Orders by Region and Month,174
Eastern Empire,,2019-01,,Total Orders by Region and Month,59
Eastern Empire,,2019-02,,Total Orders by Region and Month,47
Eastern Empire,,2019-03,,Total Orders by Region and Month,50
Eastern Empire,,2019-04,,Total Orders by Region and Month,53
Eastern Empire,,2019-05,,Total Orders by Region and Month,46
Eastern Empire,,2019-06,,Total Orders by Region and Month,55
Eastern Empire,,2019-07,,Total Orders by Region and Month,63
Eastern Empire,,2019-08,,Total Orders by Region and Month,57
Eastern Empire,,2019-09,,Total Orders by Region and Month,42
Eastern Empire,,2019-10,,Total Orders by Region and Month,51
Eastern Empire,,2019-11,,Total Orders by Region and Month,61
Eastern Empire,,2019-12,,Total Orders by Region and Month,63
Eastern Empire,,2020-01,,Total Orders by Region and Month,62
Eastern Empire,,2020-02,,Total Orders by Region and Month,52
Eastern Empire,,2020-03,,Total Orders by Region and Month,60
Eastern Empire,,2020-04,,Total Orders by Region and Month,64
Eastern Empire,,2020-05,,Total Orders by Region and Month,75
Eastern Empire,,2020-06,,Total Orders by Region and Month,52
Eastern Empire,,2020-07,,Total Orders by Region and Month,65
Eastern Empire,,2020-08,,Total Orders by Region and Month,40
Eastern Empire,,2020-09,,Total Orders by Region and Month,65
Eastern Empire,,2020-10,,Total Orders by Region and Month,61
Eastern Empire,,2020-11,,Total Orders by Region and Month,63
Eastern Empire,,2020-12,,Total Orders by Region and Month,49
Eastern Empire,,2021-01,,Total Orders by Region and Month,51
Eastern Empire,,2021-02,,Total Orders by Region and Month,53
Eastern Empire,,2021-03,,Total Orders by Region and Month,61
Eastern Empire,,2021-04,,Total Orders by Region and Month,47
Eastern Empire,,2021-05,,Total Orders by Region and Month,49
Eastern Empire,,2021-06,,Total Orders by Region and Month,49
Eastern Empire,,2021-07,,Total Orders by Region and Month,46
Eastern Empire,,2021-08,,Total Orders by Region and Month,52
Eastern Empire,,2021-09,,Total Orders by Region and Month,62
Eastern Empire,,2021-10,,Total Orders by Region and Month,54
Eastern Empire,,2021-11,,Total Orders by Region and Month,49
Eastern Empire,,2021-12,,Total Orders by Region and Month,50
Eastern Empire,,2022-01,,Total Orders by Region and Month,54
Eastern Empire,,2022-02,,Total Orders by Region and Month,57
Eastern Empire,,2022-03,,Total Orders by Region and Month,48
Eastern Empire,,2022-04,,Total Orders by Region and Month,52
Eastern Empire,,2022-05,,Total Orders by Region and Month,52
Eastern Empire,,2022-06,,Total Orders by Region and Month,63
Eastern Empire,,2022-07,,Total Orders by Region and Month,53
Eastern Empire,,2022-08,,Total Orders by Region and Month,54
Eastern Empire,,2022-09,,Total Orders by Region and Month,54
Eastern Empire,,2022-10,,Total Orders by Region and Month,59
Eastern Empire,,2022-11,,Total Orders by Region and Month,64
Eastern Empire,,2022-12,,Total Orders by Region and Month,56
Eastern Empire,,2023-01,,Total Orders by Region and Month,61
Eastern Empire,,2023-02,,Total Orders by Region and Month,58
Eastern Empire,,2023-03,,Total Orders by Region and Month,64
Eastern Empire,,2023-04,,Total Orders by Region and Month,50
Eastern Empire,,2023-05,,Total Orders by Region and Month,61
Eastern Empire,,2023-06,,Total Orders by Region and Month,60
Eastern Empire,,2023-07,,Total Orders by Region and Month,54
Eastern Empire,,2023-08,,Total Orders by Region and Month,58
Eastern Empire,,2023-09,,Total Orders by Region and Month,53
Eastern Empire,,2023-10,,Total Orders by Region and Month,60
Eastern Empire,,2023-11,,Total Orders by Region and Month,45
Eastern Empire,,2023-12,,Total Orders by Region and Month,40
Halruaan Empire,,2019-01,,Total Orders by Region and Month,510
Halruaan Empire,,2019-02,,Total Orders by Region and Month,506
Halruaan Empire,,2019-03,,Total Orders by Region and Month,541
Halruaan Empire,,2019-04,,Total Orders by Region and Month,535
Halruaan Empire,,2019-05,,Total Orders by Region and Month,577
Halruaan Empire,,2019-06,,Total Orders by Region and Month,559
Halruaan Empire,,2019-07,,Total Orders by Region and Month,569
Halruaan Empire,,2019-08,,Total Orders by Region and Month,537
Halruaan Empire,,2019-09,,Total Orders by Region and Month,556
Halruaan Empire,,2019-10,,Total Orders by Region and Month,562
Halruaan Empire,,2019-11,,Total Orders by Region and Month,548
Halruaan Empire,,2019-12,,Total Orders by Region and Month,528
Halruaan Empire,,2020-01,,Total Orders by Region and Month,492
Halruaan Empire,,2020-02,,Total Orders by Region and Month,530
Halruaan Empire,,2020-03,,Total Orders by Region and Month,553
Halruaan Empire,,2020-04,,Total Orders by Region and Month,520
Halruaan Empire,,2020-05,,Total Orders by Region and Month,529
Halruaan Empire,,2020-06,,Total Orders by Region and Month,567
Halruaan Empire,,2020-07,,Total Orders by Region and Month,522
Halruaan Empire,,2020-08,,Total Orders by Region and Month,583
Halruaan Empire,,2020-09,,Total Orders by Region and Month,543
Halruaan Empire,,2020-10,,Total Orders by Region and Month,560
Halruaan Empire,,2020-11,,Total Orders by Region and Month,538
Halruaan Empire,,2020-12,,Total Orders by Region and Month,521
Halruaan Empire,,2021-01,,Total Orders by Region and Month,518
Halruaan Empire,,2021-02,,Total Orders by Region and Month,505
Halruaan Empire,,2021-03,,Total Orders by Region and Month,584
Halruaan Empire,,2021-04,,Total Orders by Region and Month,583
Halruaan Empire,,2021-05,,Total Orders by Region and Month,539
Halruaan Empire,,2021-06,,Total Orders by Region and Month,514
Halruaan Empire,,2021-07,,Total Orders by Region and Month,570
Halruaan Empire,,2021-08,,Total Orders by Region and Month,592
Halruaan Empire,,2021-09,,Total Orders by Region and Month,504
Halruaan Empire,,2021-10,,Total Orders by Region and Month,541
Halruaan Empire,,2021-11,,Total Orders by Region and Month,573
Halruaan Empire,,2021-12,,Total Orders by Region and Month,540
Halruaan Empire,,2022-01,,Total Orders by Region and Month,595
Halruaan Empire,,2022-02,,Total Orders by Region and Month,530
Halruaan Empire,,2022-03,,Total Orders by Region and Month,542
Halruaan Empire,,2022-04,,Total Orders by Region and Month,538
Halruaan Empire,,2022-05,,Total Orders by Region and Month,516
Halruaan Empire,,2022-06,,Total Orders by Region and Month,522
Halruaan Empire,,2022-07,,Total Orders by Region and Month,543
Halruaan Empire,,2022-08,,Total Orders by Region and Month,501
Halruaan Empire,,2022-09,,Total Orders by Region and Month,541
Halruaan Empire,,2022-10,,Total Orders by Region and Month,539
Halruaan Empire,,2022-11,,Total Orders by Region and Month,518
Halruaan Empire,,2022-12,,Total Orders by Region and Month,601
Halruaan Empire,,2023-01,,Total Orders by Region and Month,532
Halruaan Empire,,2023-02,,Total Orders by Region and Month,493
Halruaan Empire,,2023-03,,Total Orders by Region and Month,537
Halruaan Empire,,2023-04,,Total Orders by Region and Month,550
Halruaan Empire,,2023-05,,Total Orders by Region and Month,566
Halruaan Empire,,2023-06,,Total Orders by Region and Month,534
Halruaan Empire,,2023-07,,Total Orders by Region and Month,509
Halruaan Empire,,2023-08,,Total Orders by Region and Month,569
Halruaan Empire,,2023-09,,Total Orders by Region and Month,548
Halruaan Empire,,2023-10,,Total Orders by Region and Month,548
Halruaan Empire,,2023-11,,Total Orders by Region and Month,514
Halruaan Empire,,2023-12,,Total Orders by Region and Month,559
New Neverwinter Empire,,2019-01,,Total Orders by Region and Month,136
New Neverwinter Empire,,2019-02,,Total Orders by Region and Month,134
New Neverwinter Empire,,2019-03,,Total Orders by Region and Month,153
New Neverwinter Empire,,2019-04,,Total Orders by Region and Month,144
New Neverwinter Empire,,2019-05,,Total Orders by Region and Month,157
New Neverwinter Empire,,2019-06,,Total Orders by Region and Month,148
New Neverwinter Empire,,2019-07,,Total Orders by Region and Month,173
New Neverwinter Empire,,2019-08,,Total Orders by Region and Month,135
New Neverwinter Empire,,2019-09,,Total Orders by Region and Month,154
New Neverwinter Empire,,2019-10,,Total Orders by Region and Month,167
New Neverwinter Empire,,2019-11,,Total Orders by Region and Month,149
New Neverwinter Empire,,2019-12,,Total Orders by Region and Month,165
New Neverwinter Empire,,2020-01,,Total Orders by Region and Month,150
New Neverwinter Empire,,2020-02,,Total Orders by Region and Month,168
New Neverwinter Empire,,2020-03,,Total Orders by Region and Month,175
New Neverwinter Empire,,2020-04,,Total Orders by Region and Month,149
New Neverwinter Empire,,2020-05,,Total Orders by Region and Month,169
New Neverwinter Empire,,2020-06,,Total Orders by Region and Month,141
New Neverwinter Empire,,2020-07,,Total Orders by Region and Month,175
New Neverwinter Empire,,2020-08,,Total Orders by Region and Month,157
New Neverwinter Empire,,2020-09,,Total Orders by Region and Month,168
New Neverwinter Empire,,2020-10,,Total Orders by Region and Month,156
New Neverwinter Empire,,2020-11,,Total Orders by Region and Month,169
New Neverwinter Empire,,2020-12,,Total Orders by Region and Month,164
New Neverwinter Empire,,2021-01,,Total Orders by Region and Month,178
New Neverwinter Empire,,2021-02,,Total Orders by Region and Month,142
New Neverwinter Empire,,2021-03,,Total Orders by Region and Month,187
New Neverwinter Empire,,2021-04,,Total Orders by Region and Month,150
New Neverwinter Empire,,2021-05,,Total Orders by Region and Month,165
New Neverwinter Empire,,2021-06,,Total Orders by Region and Month,134
New Neverwinter Empire,,2021-07,,Total Orders by Region and Month,181
New Neverwinter Empire,,2021-08,,Total Orders by Region and Month,169
New Neverwinter Empire,,2021-09,,Total Orders by Region and Month,155
New Neverwinter Empire,,2021-10,,Total Orders by Region and Month,157
New Neverwinter Empire,,2021-11,,Total Orders by Region and Month,157
New Neverwinter Empire,,2021-12,,Total Orders by Region and Month,157
New Neverwinter Empire,,2022-01,,Total Orders by Region and Month,149
New Neverwinter Empire,,2022-02,,Total Orders by Region and Month,164
New Neverwinter Empire,,2022-03,,Total Orders by Region and Month,162
New Neverwinter Empire,,2022-04,,Total Orders by Region and Month,149
New Neverwinter Empire,,2022-05,,Total Orders by Region and Month,155
New Neverwinter Empire,,2022-06,,Total Orders by Region and Month,149
New Neverwinter Empire,,2022-07,,Total Orders by Region and Month,157
New Neverwinter Empire,,2022-08,,Total Orders by Region and Month,148
New Neverwinter Empire,,2022-09,,Total Orders by Region and Month,141
New Neverwinter Empire,,2022-10,,Total Orders by Region and Month,154
New Neverwinter Empire,,2022-11,,Total Orders by Region and Month,164
New Neverwinter Empire,,2022-12,,Total Orders by Region and Month,161
New Neverwinter Empire,,2023-01,,Total Orders by Region and Month,169
New Neverwinter Empire,,2023-02,,Total Orders by Region and Month,143
New Neverwinter Empire,,2023-03,,Total Orders by Region and Month,168
New Neverwinter Empire,,2023-04,,Total Orders by Region and Month,175
New Neverwinter Empire,,2023-05,,Total Orders by Region and Month,177
New Neverwinter Empire,,2023-06,,Total Orders by Region and Month,139
New Neverwinter Empire,,2023-07,,Total Orders by Region and Month,127
New Neverwinter Empire,,2023-08,,Total Orders by Region and Month,144
New Neverwinter Empire,,2023-09,,Total Orders by Region and Month,147
New Neverwinter Empire,,2023-10,,Total Orders by Region and Month,164
New Neverwinter Empire,,2023-11,,Total Orders by Region and Month,168
New Neverwinter Empire,,2023-12,,Total Orders by Region and Month,174
None Empire,,2019-01,,Total Orders by Region and Month,97
None Empire,,2019-02,,Total Orders by Region and Month,90
None Empire,,2019-03,,Total Orders by Region and Month,99
None Empire,,2019-04,,Total Orders by Region and Month,97
None Empire,,2019-05,,Total Orders by Region and Month,83
None Empire,,2019-06,,Total Orders by Region and Month,84
None Empire,,2019-07,,Total Orders by Region and Month,73
None Empire,,2019-08,,Total Orders by Region and Month,105
None Empire,,2019-09,,Total Orders by Region and Month,107
None Empire,,2019-10,,Total Orders by Region and Month,120
None Empire,,2019-11,,Total Orders by Region and Month,102
None Empire,,2019-12,,Total Orders by Region and Month,119
None Empire,,2020-01,,Total Orders by Region and Month,95
None Empire,,2020-02,,Total Orders by Region and Month,85
None Empire,,2020-03,,Total Orders by Region and Month,79
None Empire,,2020-04,,Total Orders by Region and Month,96
None Empire,,2020-05,,Total Orders by Region and Month,99
None Empire,,2020-06,,Total Orders by Region and Month,81
None Empire,,2020-07,,Total Orders by Region and Month,97
None Empire,,2020-08,,Total Orders by Region and Month,92
None Empire,,2020-09,,Total Orders by Region and Month,96
None Empire,,2020-10,,Total Orders by Region and Month,90
None Empire,,2020-11,,Total Orders by Region and Month,111
None Empire,,2020-12,,Total Orders by Region and Month,112
None Empire,,2021-01,,Total Orders by Region and Month,104
None Empire,,2021-02,,Total Orders by Region and Month,76
None Empire,,2021-03,,Total Orders by Region and Month,101
None Empire,,2021-04,,Total Orders by Region and Month,75
None Empire,,2021-05,,Total Orders by Region and Month,92
None Empire,,2021-06,,Total Orders by Region and Month,100
None Empire,,2021-07,,Total Orders by Region and Month,85
None Empire,,2021-08,,Total Orders by Region and Month,88
None Empire,,2021-09,,Total Orders by Region and Month,79
None Empire,,2021-10,,Total Orders by Region and Month,95
None Empire,,2021-11,,Total Orders by Region and Month,98
None Empire,,2021-12,,Total Orders by Region and Month,98
None Empire,,2022-01,,Total Orders by Region and Month,93
None Empire,,2022-02,,Total Orders by Region and Month,78
None Empire,,2022-03,,Total Orders by Region and Month,93
None Empire,,2022-04,,Total Orders by Region and Month,99
None Empire,,2022-05,,Total Orders by Region and Month,101
None Empire,,2022-06,,Total Orders by Region and Month,107
None Empire,,2022-07,,Total Orders by Region and Month,98
None Empire,,2022-08,,Total Orders by Region and Month,95
None Empire,,2022-09,,Total Orders by Region and Month,98
None Empire,,2022-10,,Total Orders by Region and Month,100
None Empire,,2022-11,,Total Orders by Region and Month,88
None Empire,,2022-12,,Total Orders by Region and Month,88
None Empire,,2023-01,,Total Orders by Region and Month,100
None Empire,,2023-02,,Total Orders by Region and Month,99
None Empire,,2023-03,,Total Orders by Region and Month,88
None Empire,,2023-04,,Total Orders by Region and Month,84
None Empire,,2023-05,,Total Orders by Region and Month,107
None Empire,,2023-06,,Total Orders by Region and Month,89
